response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
5.4807,0.0643,0.0000,0.0000,5.4163,0.0001,403,30.4379
10.0063,0.0648,0.0000,0.0001,9.9413,0.0001,403,30.4373
10.0099,0.0666,0.0000,0.0000,9.9431,0.0001,403,30.4374
12.5297,0.0672,0.0000,0.0001,12.4623,0.0001,403,30.4378
6.5994,0.0476,0.0000,0.0001,6.5517,0.0001,403,40.4473
5.3195,0.0601,0.0000,0.0000,5.2592,0.0001,403,90.4386
9.3645,0.0498,0.0000,0.0001,9.3144,0.0001,403,95.9193
15.8713,0.0605,0.0000,0.0001,15.8105,0.0002,403,90.4386
5.1237,0.0480,0.0000,0.0001,5.0755,0.0001,403,105.2839
5.1208,0.0474,0.0000,0.0001,5.0732,0.0001,403,106.3099
9.0662,0.0585,0.0000,0.0000,9.0076,0.0001,403,150.4393
9.1820,0.0578,0.0000,0.0000,9.1241,0.0001,403,150.4395
5.1235,0.0494,0.0000,0.0001,5.0739,0.0001,403,159.5056
5.1306,0.0479,0.0000,0.0001,5.0826,0.0001,403,160.4452
11.0514,0.0587,0.0000,0.0000,10.9926,0.0001,403,210.4401
11.2359,0.0597,0.0000,0.0000,11.1760,0.0001,403,210.4401
5.2467,0.0471,0.0000,0.0001,5.1995,0.0001,403,287.0503
5.1264,0.0467,0.0000,0.0001,5.0795,0.0001,403,291.4330
